Type,n,Number,rho,delta,Time,LB,UB,GAP,Max|O|,TreeSize
Uniform,20,10,1.0,1.0,1536.9520721435547,36.72362893587052,36.780834347602415,0.1555304895785262,84,216
Uniform,25,1,0.25,0.25,3518.77197098732,48.73284081583501,48.91456413579871,0.3715116819996464,1696,11104
Uniform,25,2,0.25,0.25,2932.209050178528,51.2153581717091,51.2601877067857,0.08745487888774796,748,5793
Uniform,25,3,0.25,0.25,3599.5902700424194,49.42921648576772,50.32234551166867,1.774815972546146,2728,18534
Uniform,25,4,0.25,0.25,2642.1194400787354,52.629171975730635,52.6569787765127,0.05280743678835875,308,2313
Uniform,25,5,0.25,0.25,3599.7799549102783,49.65538304793207,51.25171163056199,3.1146834551336497,2740,18783
Uniform,25,6,0.25,0.25,3598.1127309799194,50.578369269962884,50.98302785904257,0.793712351095514,2281,13433
Uniform,25,7,0.25,0.25,3599.776041984558,52.32877070672127,53.926216074070815,2.9622797289454885,3795,22329
Uniform,25,8,0.25,0.25,3506.5842740535736,52.21246581863668,52.24622589554703,0.06461725480007317,938,6718
Uniform,25,9,0.25,0.25,3555.034504890442,47.80159564781706,47.84394716584074,0.08852011703147458,1200,8154
Uniform,25,10,0.25,0.25,3599.890048980713,48.858581263544565,50.7727121914771,3.769999366419204,3262,22198
Uniform,25,1,0.5,0.5,3313.6767058372498,43.526571755178495,43.5684960898549,0.09622626080537182,516,1939
Uniform,25,2,0.5,0.5,3521.5313370227814,46.83990140337666,46.917799095218285,0.16603014920528686,810,3067
